id,text,type
question_01,주로 사용하시는 프로그래밍 언어는 어떤 것입니까? (복수응답 가능),checkboxes
question_02,R 언어 사용 경력은 어느 정도 되셨습니까?,radiobutton
question_03,최근 1년동안 R 언어를 얼마나 자주 사용하셨습니까?,radiobutton
question_04,현재 하시는 일은 아래 중 어느 카테고리에 가장 가깝습니까?,radiobutton
question_05,현재 주로 소속하신 조직은 아래 중 어느 카테고리에 가장 가깝습니까?,radiobutton
question_06,컨퍼런스에 대해서 어떻게 처음 알게 되셨습니까?,radiobutton
question_07,컨퍼런스를 등록하신 이유는 무엇입니까? (복수응답 가능),checkboxes
question_08,컨퍼런스에 대해 전반적으로 얼마나 만족하셨습니까?,radiobutton
question_09,컨퍼런스 시간의 전체 길이는 어떻게 느끼셨습니까?,radiobutton
question_10,컨퍼런스 중 휴식 시간 길이는 어떻게 느끼셨습니까?,radiobutton
question_11,컨퍼런스에서 다룬 내용들의 난이도 수준은 어느 정도로 느껴지셨습니까?,radiobutton
question_12,컨퍼런스에서 새롭게 알게 되신 내용들이 향후 업무에 얼마나 도움이 될 것이라 생각하십니까?,radiobutton
question_13,컨퍼런스 플랫폼의 접속 및 사용은 편리하셨습니까?,radiobutton
question_14,발표 영상의 화질 및 소리 품질은 만족스러우셨습니까?,radiobutton
question_15,이번 컨퍼런스에서 기대 이상으로 좋았던 부분들을 자유롭게 말씀해주세요.,text
question_16,이번 컨퍼런스에서 기대에 못 미쳤던 부분들을 자유롭게 말씀해주세요.,text
question_17,아래 키노트 중 어느 세션에 참석하셨습니까? (복수응답 가능),checkboxes
question_18,키노트에 대해 어느 정도로 만족하셨습니까?,radiobutton
question_19,키노트 세션의 길이는 어떻게 느끼셨습니까?,radiobutton
question_20,키노트 중간 휴식 시간의 길이는 어떻게 느끼셨습니까?,radiobutton
question_21,키노트 난이도 수준은 어느 정도로 느껴지셨습니까?,radiobutton
question_22,키노트 내용들이 향후 업무에 얼마나 도움이 될 것이라 생각하십니까?,radiobutton
question_23,아래 발표 중 어느 세션에 참석하셨습니까? (복수응답 가능),checkboxes
question_24,일반 발표 세션에 대해 어느 정도로 만족하셨습니까?,radiobutton
question_25,발표 세션의 길이는 어떻게 느끼셨습니까?,radiobutton
question_26,발표 세션 중간 휴식 시간의 길이는 어떻게 느끼셨습니까?,radiobutton
question_27,발표 내용의 난이도 수준은 어느 정도로 느껴지셨습니까?,radiobutton
question_28,발표 내용들이 향후 업무에 얼마나 도움이 될 것이라 생각하십니까?,radiobutton
question_29,내년에 컨퍼런스가 열린다면 참석하실 의향이 있으십니까?,radiobutton
question_30,내년 컨퍼런스에 발표자로 참여하실 의향이 있으십니까?,radiobutton
question_31,주변 동료/지인들에게 내년 컨퍼런스 참석을 추천하실 것 같습니까?,radiobutton
question_32,내년에 컨퍼런스가 유료로 열린다면 등록비로 최대 얼마 정도 지출하실 의향이 있으십니까?,radiobutton
question_33,내년 컨퍼런스에 가장 개선되었으면 하는 부분은 아래 중 어떤 것입니까?,radiobutton
question_34,내년 컨퍼런스에 바라시는 점을 자유롭게 말씀해주세요.,text
question_35,"아래 인사이트 출판사 도서 목록 중, 어떠한 도서를 받으시길 가장 선호하십니까?",radiobutton
question_36,"(얼리버드 등록자에 한하여 추가 설문) 아래 제이펍 출판사 도서 목록 중, 어떠한 도서를 받으시길 가장 선호하십니까?",radiobutton
